State,Year,Sector,Consumption (in MU),Percentage Share
Andaman and Nicobar Islands,2022-23,Agriculture,1.51,0.53
Andaman and Nicobar Islands,2022-23,Commercial,63.98,22.53
Andaman and Nicobar Islands,2022-23,Domestic,159.59,56.19
Andaman and Nicobar Islands,2022-23,Industrial,12.33,4.34
Andaman and Nicobar Islands,2022-23,Others,41.54,14.63
Andaman and Nicobar Islands,2022-23,Public Services,5.05,1.78
Andaman and Nicobar Islands,2022-23,Railways,0,0
Andhra Pradesh,2022-23,Agriculture,9419.91,13.15
Andhra Pradesh,2022-23,Commercial,5000.13,6.98
Andhra Pradesh,2022-23,Domestic,17442.78,24.35
Andhra Pradesh,2022-23,Industrial,30669.13,42.82
Andhra Pradesh,2022-23,Others,5055.68,7.06
Andhra Pradesh,2022-23,Public Services,1856.65,2.59
Andhra Pradesh,2022-23,Railways,2185.71,3.05
Arunachal Pradesh,2022-23,Agriculture,0.05,0.01
Arunachal Pradesh,2022-23,Commercial,88.3,15.16
Arunachal Pradesh,2022-23,Domestic,236.66,40.63
Arunachal Pradesh,2022-23,Industrial,219.1,37.62
Arunachal Pradesh,2022-23,Others,29.01,4.98
Arunachal Pradesh,2022-23,Public Services,8.97,1.54
Arunachal Pradesh,2022-23,Railways,0.39,0.07
Assam,2022-23,Agriculture,72.34,0.64
Assam,2022-23,Commercial,1535.79,13.62
Assam,2022-23,Domestic,4849.05,42.99
Assam,2022-23,Industrial,2966.7,26.30
Assam,2022-23,Others,1459.4,12.94
Assam,2022-23,Public Services,209.56,1.86
Assam,2022-23,Railways,185.59,1.65
Bihar,2022-23,Agriculture,3779.76,12.18
Bihar,2022-23,Commercial,3382.15,10.90
Bihar,2022-23,Domestic,16071.83,51.80
Bihar,2022-23,Industrial,5065.56,16.33
Bihar,2022-23,Others,0.17,0.00
Bihar,2022-23,Public Services,1196.63,3.86
Bihar,2022-23,Railways,1528.69,4.93
Chandigarh,2022-23,Agriculture,1.58,0.1
Chandigarh,2022-23,Commercial,462.3,27.99
Chandigarh,2022-23,Domestic,792.21,47.97
Chandigarh,2022-23,Industrial,229.83,13.92
Chandigarh,2022-23,Others,124.48,7.54
Chandigarh,2022-23,Public Services,38.06,2.3
Chandigarh,2022-23,Railways,3.13,0.19
Chhattisgarh,2022-23,Agriculture,6875.65,14.85
Chhattisgarh,2022-23,Commercial,1855.89,4.01
Chhattisgarh,2022-23,Domestic,6471.19,13.98
Chhattisgarh,2022-23,Industrial,28938.14,62.5
Chhattisgarh,2022-23,Others,0,0
Chhattisgarh,2022-23,Public Services,839.19,1.81
Chhattisgarh,2022-23,Railways,1322.22,2.86
Delhi,2022-23,Agriculture,39.97,0.12
Delhi,2022-23,Commercial,7842.22,22.98
Delhi,2022-23,Domestic,18157.53,53.21
Delhi,2022-23,Industrial,3119.23,9.14
Delhi,2022-23,Others,3728.11,10.93
Delhi,2022-23,Public Services,976.35,2.86
Delhi,2022-23,Railways,257.94,0.76
Goa,2022-23,Agriculture,37.14,0.73
Goa,2022-23,Commercial,679.11,13.3
Goa,2022-23,Domestic,1368.03,26.79
Goa,2022-23,Industrial,2867.31,56.14
Goa,2022-23,Others,105.58,2.07
Goa,2022-23,Public Services,45.81,0.9
Goa,2022-23,Railways,4.4,0.09
Gujarat,2022-23,Agriculture,21511.19,14.87
Gujarat,2022-23,Commercial,6872.87,4.75
Gujarat,2022-23,Domestic,17676.61,12.22
Gujarat,2022-23,Industrial,94642.63,65.43
Gujarat,2022-23,Others,418.65,0.29
Gujarat,2022-23,Public Services,2556.3,1.77
Gujarat,2022-23,Railways,967.61,0.67
Haryana,2022-23,Agriculture,10204.06,17.40
