State,Source,Capacity Type,Capacity (in MW)
All India,Hydro,Potential Capacity,309690
All India,Hydro,Installed Capacity,47928.16
All India,Wind,Potential Capacity,1163856
All India,Wind,Installed Capacity,51292.25
All India,Solar,Potential Capacity,748990
All India,Solar,Installed Capacity,110834.28
All India,Bio Power,Potential Capacity,42263
All India,Bio Power,Installed Capacity,11594.02
All India,Small-Hydro,Potential Capacity,21133.61
All India,Small-Hydro,Installed Capacity,5102.05
Andaman and Nicobar Islands,Hydro,Potential Capacity,0
Andaman and Nicobar Islands,Hydro,Installed Capacity,0
Andaman and Nicobar Islands,Wind,Potential Capacity,1245
Andaman and Nicobar Islands,Wind,Installed Capacity,0
Andaman and Nicobar Islands,Solar,Potential Capacity,0
Andaman and Nicobar Islands,Solar,Installed Capacity,30.62
Andaman and Nicobar Islands,Bio Power,Potential Capacity,2297
Andaman and Nicobar Islands,Bio Power,Installed Capacity,0
Andaman and Nicobar Islands,Small-Hydro,Potential Capacity,7.27
Andaman and Nicobar Islands,Small-Hydro,Installed Capacity,5.25
Andhra Pradesh,Hydro,Potential Capacity,29016
Andhra Pradesh,Hydro,Installed Capacity,2810
Andhra Pradesh,Wind,Potential Capacity,123336
Andhra Pradesh,Wind,Installed Capacity,4397.78
Andhra Pradesh,Solar,Potential Capacity,38440
Andhra Pradesh,Solar,Installed Capacity,5507.48
Andhra Pradesh,Bio Power,Potential Capacity,2279
Andhra Pradesh,Bio Power,Installed Capacity,594.02
Andhra Pradesh,Small-Hydro,Potential Capacity,409.32
Andhra Pradesh,Small-Hydro,Installed Capacity,163.31
Arunachal Pradesh,Hydro,Potential Capacity,51054
Arunachal Pradesh,Hydro,Installed Capacity,1115
Arunachal Pradesh,Wind,Potential Capacity,246
Arunachal Pradesh,Wind,Installed Capacity,0
Arunachal Pradesh,Solar,Potential Capacity,8650
Arunachal Pradesh,Solar,Installed Capacity,14.85
Arunachal Pradesh,Bio Power,Potential Capacity,340
Arunachal Pradesh,Bio Power,Installed Capacity,0
Arunachal Pradesh,Small-Hydro,Potential Capacity,2064.92
Arunachal Pradesh,Small-Hydro,Installed Capacity,140.61
Assam,Hydro,Potential Capacity,963
Assam,Hydro,Installed Capacity,350
Assam,Wind,Potential Capacity,459
Assam,Wind,Installed Capacity,0
Assam,Solar,Potential Capacity,13760
Assam,Solar,Installed Capacity,243.34
Assam,Bio Power,Potential Capacity,322
Assam,Bio Power,Installed Capacity,2
Assam,Small-Hydro,Potential Capacity,201.99
Assam,Small-Hydro,Installed Capacity,34.11
Bihar,Hydro,Potential Capacity,130
Bihar,Hydro,Installed Capacity,0
Bihar,Wind,Potential Capacity,4023
Bihar,Wind,Installed Capacity,0
Bihar,Solar,Potential Capacity,11200
Bihar,Solar,Installed Capacity,328.34
Bihar,Bio Power,Potential Capacity,1311
Bihar,Bio Power,Installed Capacity,140.22
Bihar,Small-Hydro,Potential Capacity,526.98
Bihar,Small-Hydro,Installed Capacity,70.7
Chandigarh,Hydro,Potential Capacity,0
Chandigarh,Hydro,Installed Capacity,0
Chandigarh,Wind,Potential Capacity,0
Chandigarh,Wind,Installed Capacity,0
Chandigarh,Solar,Potential Capacity,0
Chandigarh,Solar,Installed Capacity,78.85
Chandigarh,Bio Power,Potential Capacity,0
Chandigarh,Bio Power,Installed Capacity,0
Chandigarh,Small-Hydro,Potential Capacity,0
Chandigarh,Small-Hydro,Installed Capacity,0
Chhattisgarh,Hydro,Potential Capacity,10236
Chhattisgarh,Hydro,Installed Capacity,120
Chhattisgarh,Wind,Potential Capacity,2749
Chhattisgarh,Wind,Installed Capacity,0
Chhattisgarh,Solar,Potential Capacity,18270
Chhattisgarh,Solar,Installed Capacity,1491.3
Chhattisgarh,Bio Power,Potential Capacity,354
Chhattisgarh,Bio Power,Installed Capacity,285.42
Chhattisgarh,Small-Hydro,Potential Capacity,1098.2
Chhattisgarh,Small-Hydro,Installed Capacity,76
Dadra and Nagar Haveli and Daman and Diu,Hydro,Potential Capacity,0
Dadra and Nagar Haveli and Daman and Diu,Hydro,Installed Capacity,0
Dadra and Nagar Haveli and Daman and Diu,Wind,Potential Capacity,17
Dadra and Nagar Haveli and Daman and Diu,Wind,Installed Capacity,0
Dadra and Nagar Haveli and Daman and Diu,Solar,Potential Capacity,0
Dadra and Nagar Haveli and Daman and Diu,Solar,Installed Capacity,97.9
Dadra and Nagar Haveli and Daman and Diu,Bio Power,Potential Capacity,2
Dadra and Nagar Haveli and Daman and Diu,Bio Power,Installed Capacity,3.75
Dadra and Nagar Haveli and Daman and Diu,Small-Hydro,Potential Capacity,0
Dadra and Nagar Haveli and Daman and Diu,Small-Hydro,Installed Capacity,0
Delhi,Hydro,Potential Capacity,0
Delhi,Hydro,Installed Capacity,0
Delhi,Wind,Potential Capacity,0
Delhi,Wind,Installed Capacity,0
Delhi,Solar,Potential Capacity,2050
Delhi,Solar,Installed Capacity,344.3
Delhi,Bio Power,Potential Capacity,0
Delhi,Bio Power,Installed Capacity,84
Delhi,Small-Hydro,Potential Capacity,0
Delhi,Small-Hydro,Installed Capacity,0
Goa,Hydro,Potential Capacity,0
Goa,Hydro,Installed Capacity,0
Goa,Wind,Potential Capacity,14
Goa,Wind,Installed Capacity,0
Goa,Solar,Potential Capacity,880
Goa,Solar,Installed Capacity,60.04
Goa,Bio Power,Potential Capacity,33
Goa,Bio Power,Installed Capacity,1.94
Goa,Small-Hydro,Potential Capacity,4.7
Goa,Small-Hydro,Installed Capacity,0.05
Gujarat,Hydro,Potential Capacity,6690
Gujarat,Hydro,Installed Capacity,1990
Gujarat,Wind,Potential Capacity,180790
Gujarat,Wind,Installed Capacity,13816.68
Gujarat,Solar,Potential Capacity,35770
Gujarat,Solar,Installed Capacity,21451.33
Gujarat,Bio Power,Potential Capacity,3193
Gujarat,Bio Power,Installed Capacity,129.85
Gujarat,Small-Hydro,Potential Capacity,201.97
Gujarat,Small-Hydro,Installed Capacity,106.64
Haryana,Hydro,Potential Capacity,0
Haryana,Hydro,Installed Capacity,0
Haryana,Wind,Potential Capacity,593
Haryana,Wind,Installed Capacity,0
Haryana,Solar,Potential Capacity,4560
Haryana,Solar,Installed Capacity,2151.39
Haryana,Bio Power,Potential Capacity,1715
Haryana,Bio Power,Installed Capacity,311.47
Haryana,Small-Hydro,Potential Capacity,107.4
Haryana,Small-Hydro,Installed Capacity,73.5
Himachal Pradesh,Hydro,Potential Capacity,25565
Himachal Pradesh,Hydro,Installed Capacity,11181.01
Himachal Pradesh,Wind,Potential Capacity,239
Himachal Pradesh,Wind,Installed Capacity,0
Himachal Pradesh,Solar,Potential Capacity,33840
Himachal Pradesh,Solar,Installed Capacity,251.9
Himachal Pradesh,Bio Power,Potential Capacity,70
